group_sha256,kept_path,removed_paths
578aaa2dca4050dccaa94b0278136d187e83f8a772075712f542d3f01fa38a82,images/test/CFD_005_jpg.rf.748858007e9c7219cc9c73b4e6730741.jpg,images/train/CFD_005_jpg.rf.4da6787e42100b2ae38632837baea8d0.jpg
770bea24861e5e367f857990ec79db8debf8f255d4678057e74ab1a951dad18c,images/test/CFD_036_jpg.rf.0b63e99ef4b85ccc950d83ffa77bd0c1.jpg,images/val/CFD_036_jpg.rf.22c68d811f0885650d03d5b3b89bca6b.jpg
086460a386fbd4225c35e38b8e14093e4c688a138c771bb9bc6ed54ab7ae4948,images/test/CFD_051_jpg.rf.91a22304c64341907bfd232b17e3ca53.jpg,images/val/CFD_051_jpg.rf.e8c206ed1860997aebc2d568c725bec2.jpg
bf57f50d66db375ec8fcba2014ecabed15ee3bd7b2413d6ff8e74091fc0e4c3a,images/test/CFD_060_jpg.rf.8571b2554d6811ebd1c3a073b5b2a5c4.jpg,images/train/CFD_060_jpg.rf.58b553e4bc289d032af6b9b7e07c96d5.jpg
45701b0dc6c2c66e8e769cb87ff9a1fa95bafe3f7a68472e587e4f91ed224074,images/test/CFD_069_jpg.rf.95afc4486e8acb46d23ec7f3477ff9a6.jpg,images/train/CFD_069_jpg.rf.2f8eca84b75e1cc38629124d81ea9060.jpg
daf54415f1bf243f5f8914b99b26038b140b2c22ac4ed2fa78e84241c677129d,images/test/CFD_074_jpg.rf.0cc4343216cc437640cc77822bfcdae7.jpg,images/train/CFD_074_jpg.rf.f671850aab8ea844195551bb39d0a32f.jpg
66aee65a7c2cea2af581c0bb46253a20313e04c6d2479e081ebe81c5070e0dc8,images/test/CFD_088_jpg.rf.8c726dbe2f1c494beaf02104c489c2b6.jpg,images/train/forest_088_jpg.rf.89d501a0fac6093011ca4a116d58e009.jpg
b53840be787ee2bd13276afb2cf48ed325476b73f6104dc1eac580b6c01f9300,images/test/CFD_094_jpg.rf.24a6f6e868ff7a66547d3339fdc36a0f.jpg,images/train/CFD_094_jpg.rf.e31636fcfc05c4482944834e5f006eea.jpg
b12f20a6aaddd961748615d1d83bef5397a4a936630db4f7217dd52c3faae43a,images/test/CFD_110_jpg.rf.4e0e66a0d52add339d8171f96902e861.jpg,images/test/CFD_110_jpg.rf.b62a3e4a31f3b497b8d94ab3669165f6.jpg
fa9cb38e10a913510cf265905a7209db10bd1fe9cf2c17d61c78774f093fac0d,images/test/CFD_118_jpg.rf.79654612c477d817b586c7db90de4930.jpg,images/train/forest_118_jpg.rf.9ba0dde4c08fc72cb96dfe7c5b9d7965.jpg
20e20c37b41658af89ab1865f338cac2dd8104228fc6a31764d617c5eb93f6f6,images/test/CRACK500_20160222_081011_1281_721_jpg.rf.4af9cfe73bcda5dcb8e2f80c7d246ec9.jpg,images/train/CRACK500_20160222_081011_1281_721_jpg.rf.8f039dbfd35eb50ed9ebaeed183cffd8.jpg
fe681fe6ed86c8682620aa693fe2e8bd726bf071b118d283be4b61c66fef6681,images/test/CRACK500_20160222_081102_641_721_jpg.rf.2ec29ecc0e37ff9943e211ba89903a11.jpg,images/train/CRACK500_20160222_081102_641_721_jpg.rf.249d7583b070ff835e05eb3b76f51963.jpg
74c3f18c8da236d720d7dfa225e1b3ad329882123142c2e68a1b5ccfe37ec498,images/test/CRACK500_20160222_081113_1281_361_jpg.rf.a9479ecbfbce1217f8564250efabe59c.jpg,images/train/CRACK500_20160222_081113_1281_361_jpg.rf.83741d26936aa698966fd5411185ee8d.jpg
edfa6c6fc922d9e88e7b506472ec16e61e3569c00f37a7875b5d0d5346eab196,images/test/CRACK500_20160222_081113_641_361_jpg.rf.f2f4dce08175ec171da9c6c86ab5cecf.jpg,images/train/CRACK500_20160222_081113_641_361_jpg.rf.73bb4e8df2e28977c0346dff39e5d95c.jpg
f1e5ec53e850aed730f1fcfdf701a9417dc6afdc869b32ec4f3d1efd1fee1468,images/test/CRACK500_20160222_114759_1281_1081_jpg.rf.13cede6469a5806d308d583660c13a01.jpg,images/train/CRACK500_20160222_114759_1281_1081_jpg.rf.c13ccb0c0ca35929ad80b057c901bb6b.jpg
993f56a19c89393e45f8575f13bbfe07b062c7adcf8bc481acb71436ed59be65,images/test/CRACK500_20160222_114759_1281_361_jpg.rf.93729bfcf29f47dc22b7122551ed620a.jpg,images/train/CRACK500_20160222_114759_1281_361_jpg.rf.8888d73c1ae4adde3da9aff1f38966dd.jpg
01fdc947aacdc4d936e305075e5c60904fb2ab8d0a87b57cfc57e34e02f991e8,images/test/CRACK500_20160222_114806_1281_1_jpg.rf.284d87639fa5fd1195832fe408e1d562.jpg,images/val/CRACK500_20160222_114806_1281_1_jpg.rf.1fe00dee7dd1e4b1a166218d671b1515.jpg
13f4a563d38261d99438c52e195f13183cbb638b9afb94e09fae455a0da14a84,images/test/CRACK500_20160222_114806_1281_721_jpg.rf.9b1063726b673c4edebad262af7fcda5.jpg,images/train/CRACK500_20160222_114806_1281_721_jpg.rf.c1b720d70b129422c711cd9dba1a5491.jpg
c53e4dff80bef4fd83cfa8408d586d2e203eb796ade4e7b95f6e532f80fa519c,images/test/CRACK500_20160222_115219_641_1_jpg.rf.a7c4ffc0bb9152f0abb8d3cfc329baa8.jpg,images/train/CRACK500_20160222_115219_641_1_jpg.rf.3c680e0d7bc87638adda9e67b3f05498.jpg
